2024-04- 29 14:12:41: ; Temperatura interna central: 45.50C
2024-04- 29 14:12:41: ; Temperatura do LIDAR: 50.25C
2024-04- 29 14:13:41: ; Temperatura interna central: 45.60C
2024-04- 29 14:13:41: ; Temperatura do LIDAR: 50.00C
2024-04- 29 14:14:41: ; Temperatura interna central: 45.80C
2024-04- 29 14:14:41: ; Temperatura do LIDAR: 50.50C
2024-04- 29 14:15:41: ; Temperatura interna central: 46.00C
2024-04- 29 14:15:41: ; Temperatura do LIDAR: 50.75C
2024-04- 29 14:16:41: ; Temperatura interna central: 46.20C
2024-04- 29 14:16:41: ; Temperatura do LIDAR: 50.50C
2024-04- 29 14:17:41: ; Temperatura interna central: 46.40C
2024-04- 29 14:17:41: ; Temperatura do LIDAR: 51.25C
2024-04- 29 14:18:41: ; Temperatura interna central: 46.50C
2024-04- 29 14:18:41: ; Temperatura do LIDAR: 51.75C
2024-04- 29 14:19:41: ; Temperatura interna central: 46.70C
2024-04- 29 14:19:41: ; Temperatura do LIDAR: 51.25C
2024-04- 29 14:20:41: ; Temperatura interna central: 46.70C
2024-04- 29 14:20:41: ; Temperatura do LIDAR: 52.00C
2024-04- 29 14:21:41: ; Temperatura interna central: 46.90C
2024-04- 29 14:21:41: ; Temperatura do LIDAR: 52.25C
2024-04- 29 14:22:41: ; Temperatura interna central: 46.90C
2024-04- 29 14:22:41: ; Temperatura do LIDAR: 53.00C
2024-04- 29 14:23:41: ; Temperatura interna central: 47.10C
2024-04- 29 14:23:41: ; Temperatura do LIDAR: 53.25C
2024-04- 29 14:24:41: ; Temperatura interna central: 47.10C
2024-04- 29 14:24:41: ; Temperatura do LIDAR: 54.25C
2024-04- 29 14:25:41: ; Temperatura interna central: 47.10C
2024-04- 29 14:25:41: ; Temperatura do LIDAR: 54.50C
2024-04- 29 14:26:41: ; Temperatura interna central: 47.10C
2024-04- 29 14:26:41: ; Temperatura do LIDAR: 55.25C
2024-04- 29 14:27:41: ; Temperatura interna central: 46.90C
