2024-04- 29 13:24:01: ; Temperatura interna central: 28.30C
2024-04- 29 13:24:01: ; Temperatura interna lateral: 28.50C
2024-04- 29 13:24:01: ; Temperatura do chassi: 31.00C
2024-04- 29 13:24:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:25:01: ; Temperatura interna central: 29.10C
2024-04- 29 13:25:01: ; Temperatura interna lateral: 28.90C
2024-04- 29 13:25:01: ; Temperatura do chassi: 31.50C
2024-04- 29 13:25:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:26:01: ; Temperatura interna central: 30.00C
2024-04- 29 13:26:01: ; Temperatura interna lateral: 29.50C
2024-04- 29 13:26:01: ; Temperatura do chassi: 32.25C
2024-04- 29 13:26:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:27:01: ; Temperatura interna central: 31.20C
2024-04- 29 13:27:01: ; Temperatura interna lateral: 30.20C
2024-04- 29 13:27:01: ; Temperatura do chassi: 32.50C
2024-04- 29 13:27:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:28:01: ; Temperatura interna central: 32.50C
2024-04- 29 13:28:01: ; Temperatura interna lateral: 30.90C
2024-04- 29 13:28:01: ; Temperatura do chassi: 33.75C
2024-04- 29 13:28:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:29:01: ; Temperatura interna central: 33.70C
2024-04- 29 13:29:01: ; Temperatura interna lateral: 31.80C
2024-04- 29 13:29:01: ; Temperatura do chassi: 34.25C
2024-04- 29 13:29:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:30:01: ; Temperatura interna central: 35.00C
2024-04- 29 13:30:01: ; Temperatura interna lateral: 32.60C
2024-04- 29 13:30:01: ; Temperatura do chassi: 35.25C
2024-04- 29 13:30:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:31:01: ; Temperatura interna central: 36.10C
2024-04- 29 13:31:01: ; Temperatura interna lateral: 33.90C
2024-04- 29 13:31:01: ; Temperatura do chassi: 36.25C
2024-04- 29 13:31:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:32:01: ; Temperatura interna central: 37.20C
2024-04- 29 13:32:01: ; Temperatura interna lateral: 34.80C
2024-04- 29 13:32:01: ; Temperatura do chassi: 36.50C
2024-04- 29 13:32:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:33:01: ; Temperatura interna central: 38.10C
2024-04- 29 13:33:01: ; Temperatura interna lateral: 35.30C
2024-04- 29 13:33:01: ; Temperatura do chassi: 36.75C
2024-04- 29 13:33:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:34:01: ; Temperatura interna central: 38.90C
2024-04- 29 13:34:01: ; Temperatura interna lateral: 35.00C
2024-04- 29 13:34:01: ; Temperatura do chassi: 37.25C
2024-04- 29 13:34:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:35:01: ; Temperatura interna central: 39.50C
2024-04- 29 13:35:01: ; Temperatura interna lateral: 34.40C
2024-04- 29 13:35:01: ; Temperatura do chassi: 37.00C
2024-04- 29 13:35:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:36:01: ; Temperatura interna central: 39.90C
2024-04- 29 13:36:01: ; Temperatura interna lateral: 34.10C
2024-04- 29 13:36:01: ; Temperatura do chassi: 36.75C
2024-04- 29 13:36:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:37:01: ; Temperatura interna central: 40.30C
2024-04- 29 13:37:01: ; Temperatura interna lateral: 33.60C
2024-04- 29 13:37:01: ; Temperatura do chassi: 37.00C
2024-04- 29 13:37:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:38:01: ; Temperatura interna central: 40.60C
2024-04- 29 13:38:01: ; Temperatura interna lateral: 33.10C
2024-04- 29 13:38:01: ; Temperatura do chassi: 37.25C
2024-04- 29 13:38:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:39:01: ; Temperatura interna central: 40.90C
2024-04- 29 13:39:01: ; Temperatura interna lateral: 33.00C
2024-04- 29 13:39:01: ; Temperatura do chassi: 36.50C
2024-04- 29 13:39:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:40:01: ; Temperatura interna central: 41.20C
2024-04- 29 13:40:01: ; Temperatura interna lateral: 33.20C
2024-04- 29 13:40:01: ; Temperatura do chassi: 37.25C
2024-04- 29 13:40:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:41:01: ; Temperatura interna central: 41.40C
2024-04- 29 13:41:01: ; Temperatura interna lateral: 33.20C
2024-04- 29 13:41:01: ; Temperatura do chassi: 36.75C
2024-04- 29 13:41:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:42:01: ; Temperatura interna central: 41.70C
2024-04- 29 13:42:01: ; Temperatura interna lateral: 33.20C
2024-04- 29 13:42:01: ; Temperatura do chassi: 36.50C
2024-04- 29 13:42:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:43:01: ; Temperatura interna central: 41.90C
2024-04- 29 13:43:01: ; Temperatura interna lateral: 33.00C
2024-04- 29 13:43:01: ; Temperatura do chassi: 36.50C
2024-04- 29 13:43:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:44:01: ; Temperatura interna central: 42.00C
2024-04- 29 13:44:01: ; Temperatura interna lateral: 33.00C
2024-04- 29 13:44:01: ; Temperatura do chassi: 36.75C
2024-04- 29 13:44:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:45:01: ; Temperatura interna central: 42.00C
2024-04- 29 13:45:01: ; Temperatura interna lateral: 33.00C
2024-04- 29 13:45:01: ; Temperatura do chassi: 37.00C
2024-04- 29 13:45:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:46:01: ; Temperatura interna central: 42.20C
2024-04- 29 13:46:01: ; Temperatura interna lateral: 33.00C
2024-04- 29 13:46:01: ; Temperatura do chassi: 37.00C
2024-04- 29 13:46:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:47:01: ; Temperatura interna central: 42.20C
2024-04- 29 13:47:01: ; Temperatura interna lateral: 32.90C
2024-04- 29 13:47:01: ; Temperatura do chassi: 36.00C
2024-04- 29 13:47:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:48:01: ; Temperatura interna central: 42.30C
2024-04- 29 13:48:01: ; Temperatura interna lateral: 32.70C
2024-04- 29 13:48:01: ; Temperatura do chassi: 36.75C
2024-04- 29 13:48:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:49:01: ; Temperatura interna central: 42.40C
2024-04- 29 13:49:01: ; Temperatura interna lateral: 32.50C
2024-04- 29 13:49:01: ; Temperatura do chassi: 36.25C
2024-04- 29 13:49:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:50:01: ; Temperatura interna central: 42.50C
2024-04- 29 13:50:01: ; Temperatura interna lateral: 32.50C
2024-04- 29 13:50:01: ; Temperatura do chassi: 36.50C
2024-04- 29 13:50:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:51:01: ; Temperatura interna central: 42.50C
2024-04- 29 13:51:01: ; Temperatura interna lateral: 32.70C
2024-04- 29 13:51:01: ; Temperatura do chassi: 36.50C
2024-04- 29 13:51:01: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:52:02: ; Temperatura interna central: 42.70C
2024-04- 29 13:52:02: ; Temperatura interna lateral: 32.90C
2024-04- 29 13:52:02: ; Temperatura do chassi: 36.75C
2024-04- 29 13:52:02: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:53:02: ; Temperatura interna central: 42.80C
2024-04- 29 13:53:02: ; Temperatura interna lateral: 33.30C
2024-04- 29 13:53:02: ; Temperatura do chassi: 37.00C
2024-04- 29 13:53:02: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:54:02: ; Temperatura interna central: 43.00C
2024-04- 29 13:54:02: ; Temperatura interna lateral: 33.40C
2024-04- 29 13:54:02: ; Temperatura do chassi: 36.75C
2024-04- 29 13:54:02: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:55:02: ; Temperatura interna central: 43.10C
2024-04- 29 13:55:02: ; Temperatura interna lateral: 33.50C
2024-04- 29 13:55:02: ; Temperatura do chassi: 36.50C
2024-04- 29 13:55:02: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:56:02: ; Temperatura interna central: 43.30C
2024-04- 29 13:56:02: ; Temperatura interna lateral: 33.70C
2024-04- 29 13:56:02: ; Temperatura do chassi: 37.25C
2024-04- 29 13:56:02: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:57:02: ; Temperatura interna central: 43.50C
2024-04- 29 13:57:02: ; Temperatura interna lateral: 34.00C
2024-04- 29 13:57:02: ; Temperatura do chassi: 37.50C
2024-04- 29 13:57:02: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:58:02: ; Temperatura interna central: 43.70C
2024-04- 29 13:58:02: ; Temperatura interna lateral: 33.90C
2024-04- 29 13:58:02: ; Temperatura do chassi: 37.50C
2024-04- 29 13:58:02: ; Temperatura do LIDAR: 0.00C
2024-04- 29 13:59:02: ; Temperatura interna central: 43.90C
2024-04- 29 13:59:02: ; Temperatura interna lateral: 34.10C
2024-04- 29 13:59:02: ; Temperatura do chassi: 37.50C
2024-04- 29 13:59:02: ; Temperatura do LIDAR: 0.00C
2024-04- 29 14:00:02: ; Temperatura interna central: 44.20C
2024-04- 29 14:00:02: ; Temperatura interna lateral: 34.60C
2024-04- 29 14:00:02: ; Temperatura do chassi: 37.75C
2024-04- 29 14:00:02: ; Temperatura do LIDAR: 0.00C
2024-04- 29 14:01:02: ; Temperatura interna central: 44.50C
2024-04- 29 14:01:02: ; Temperatura interna lateral: 34.60C
2024-04- 29 14:01:02: ; Temperatura do chassi: 38.25C
2024-04- 29 14:01:02: ; Temperatura do LIDAR: 50.50C
2024-04- 29 14:02:02: ; Temperatura interna central: 44.70C
2024-04- 29 14:02:02: ; Temperatura interna lateral: 35.10C
2024-04- 29 14:02:02: ; Temperatura do chassi: 38.25C
2024-04- 29 14:02:02: ; Temperatura do LIDAR: 50.25C
2024-04- 29 14:03:02: ; Temperatura interna central: 45.10C
2024-04- 29 14:03:02: ; Temperatura interna lateral: 36.00C
2024-04- 29 14:03:02: ; Temperatura do chassi: 38.50C
2024-04- 29 14:03:02: ; Temperatura do LIDAR: 51.50C
2024-04- 29 14:04:02: ; Temperatura interna central: 45.50C
2024-04- 29 14:04:02: ; Temperatura interna lateral: 36.20C
2024-04- 29 14:04:02: ; Temperatura do chassi: 38.25C
2024-04- 29 14:04:02: ; Temperatura do LIDAR: 51.50C
2024-04- 29 14:05:02: ; Temperatura interna central: 45.70C
2024-04- 29 14:05:02: ; Temperatura interna lateral: 35.60C
2024-04- 29 14:05:02: ; Temperatura do chassi: 38.00C
2024-04- 29 14:05:02: ; Temperatura do LIDAR: 0.00C
2024-04- 29 14:06:02: ; Temperatura interna central: 45.70C
2024-04- 29 14:06:02: ; Temperatura interna lateral: 34.80C
2024-04- 29 14:06:02: ; Temperatura do chassi: 37.75C
2024-04- 29 14:06:02: ; Temperatura do LIDAR: 0.00C
2024-04- 29 14:07:02: ; Temperatura interna central: 45.50C
2024-04- 29 14:07:02: ; Temperatura interna lateral: 34.30C
2024-04- 29 14:07:02: ; Temperatura do chassi: 37.75C
2024-04- 29 14:07:02: ; Temperatura do LIDAR: 0.00C
2024-04- 29 14:08:02: ; Temperatura interna central: 45.30C
2024-04- 29 14:08:02: ; Temperatura interna lateral: 34.00C
2024-04- 29 14:08:02: ; Temperatura do chassi: 37.25C
2024-04- 29 14:08:02: ; Temperatura do LIDAR: 0.00C
2024-04- 29 14:09:02: ; Temperatura interna central: 45.10C
2024-04- 29 14:09:02: ; Temperatura interna lateral: 33.90C
2024-04- 29 14:09:02: ; Temperatura do chassi: 37.50C
2024-04- 29 14:09:02: ; Temperatura do LIDAR: 59.50C
2024-04- 29 14:10:02: ; Temperatura interna central: 45.00C
2024-04- 29 14:10:02: ; Temperatura interna lateral: 34.20C
2024-04- 29 14:10:02: ; Temperatura do chassi: 37.50C
2024-04- 29 14:10:02: ; Temperatura do LIDAR: 51.50C
2024-04- 29 14:11:02: ; Temperatura interna central: 45.00C
2024-04- 29 14:11:02: ; Temperatura interna lateral: 34.60C
2024-04- 29 14:11:02: ; Temperatura do chassi: 38.25C
2024-04- 29 14:11:02: ; Temperatura do LIDAR: 51.75C
2024-04- 29 14:12:02: ; Temperatura interna central: 45.10C
2024-04- 29 14:12:02: ; Temperatura interna lateral: 35.50C
2024-04- 29 14:12:02: ; Temperatura do chassi: 38.75C
2024-04- 29 14:12:02: ; Temperatura do LIDAR: 52.00C
2024-04- 29 14:13:02: ; Temperatura interna central: 45.30C
2024-04- 29 14:13:02: ; Temperatura interna lateral: 36.90C
2024-04- 29 14:13:02: ; Temperatura do chassi: 38.75C
2024-04- 29 14:13:02: ; Temperatura do LIDAR: 52.25C
2024-04- 29 14:14:02: ; Temperatura interna central: 45.60C
2024-04- 29 14:14:02: ; Temperatura interna lateral: 38.60C
2024-04- 29 14:14:02: ; Temperatura do chassi: 38.75C
2024-04- 29 14:14:02: ; Temperatura do LIDAR: 51.75C
2024-04- 29 14:15:02: ; Temperatura interna central: 45.90C
2024-04- 29 14:15:02: ; Temperatura interna lateral: 39.00C
2024-04- 29 14:15:02: ; Temperatura do chassi: 39.75C
2024-04- 29 14:15:02: ; Temperatura do LIDAR: 52.75C
2024-04- 29 14:16:02: ; Temperatura interna central: 46.10C
2024-04- 29 14:16:02: ; Temperatura interna lateral: 38.90C
2024-04- 29 14:16:02: ; Temperatura do chassi: 39.50C
2024-04- 29 14:16:02: ; Temperatura do LIDAR: 52.50C
2024-04- 29 14:17:02: ; Temperatura interna central: 46.10C
2024-04- 29 14:17:02: ; Temperatura interna lateral: 38.30C
2024-04- 29 14:17:02: ; Temperatura do chassi: 40.00C
2024-04- 29 14:17:02: ; Temperatura do LIDAR: 52.25C
2024-04- 29 14:18:02: ; Temperatura interna central: 46.10C
2024-04- 29 14:18:02: ; Temperatura interna lateral: 37.30C
2024-04- 29 14:18:02: ; Temperatura do chassi: 39.50C
2024-04- 29 14:18:02: ; Temperatura do LIDAR: 52.75C
2024-04- 30 08:45:41: ; Temperatura interna central: 25.40C
2024-04- 30 08:45:41: ; Temperatura interna lateral: 25.50C
2024-04- 30 08:45:41: ; Temperatura do chassi: 28.00C
2024-04- 30 08:45:41: ; Temperatura do LIDAR: 0.00C
2024-04- 30 08:46:41: ; Temperatura interna central: 25.50C
2024-04- 30 08:46:41: ; Temperatura interna lateral: 25.50C
2024-04- 30 08:46:41: ; Temperatura do chassi: 28.25C
2024-04- 30 08:46:41: ; Temperatura do LIDAR: 0.00C
2024-04- 30 08:47:41: ; Temperatura interna central: 25.80C
2024-04- 30 08:47:41: ; Temperatura interna lateral: 25.90C
2024-04- 30 08:47:41: ; Temperatura do chassi: 28.00C
2024-04- 30 08:47:41: ; Temperatura do LIDAR: 0.00C
