
2024-04- 29 13:47:47: ; Temperatura do chassi: 36.25C
2024-04- 29 13:47:47: ; Temperatura do LIDAR: 47.75C
2024-04- 29 13:48:47: ; Temperatura interna central: 39.60C
2024-04- 29 13:48:47: ; Temperatura interna lateral: 31.20C
2024-04- 29 13:48:47: ; Temperatura do chassi: 36.50C
2024-04- 29 13:48:47: ; Temperatura do LIDAR: 47.75C
2024-04- 29 13:49:47: ; Temperatura interna central: 39.70C
2024-04- 29 13:49:47: ; Temperatura interna lateral: 31.30C
2024-04- 29 13:49:47: ; Temperatura do chassi: 36.50C
2024-04- 29 13:49:47: ; Temperatura do LIDAR: 48.25C
2024-04- 29 13:50:47: ; Temperatura interna central: 39.90C
2024-04- 29 13:50:47: ; Temperatura interna lateral: 31.30C
2024-04- 29 13:50:47: ; Temperatura do chassi: 36.75C
2024-04- 29 13:50:47: ; Temperatura do LIDAR: 48.50C
2024-04- 29 13:51:47: ; Temperatura interna central: 40.00C
2024-04- 29 13:51:47: ; Temperatura interna lateral: 31.30C
2024-04- 29 13:51:47: ; Temperatura do chassi: 36.75C
2024-04- 29 13:51:47: ; Temperatura do LIDAR: 50.00C
2024-04- 29 13:52:47: ; Temperatura interna central: 40.20C
2024-04- 29 13:52:47: ; Temperatura interna lateral: 31.30C
2024-04- 29 13:52:47: ; Temperatura do chassi: 36.75C
2024-04- 29 13:52:47: ; Temperatura do LIDAR: 50.50C
2024-04- 29 13:53:47: ; Temperatura interna central: 40.40C
2024-04- 29 13:53:47: ; Temperatura interna lateral: 31.40C
2024-04- 29 13:53:47: ; Temperatura do chassi: 37.25C
2024-04- 29 13:53:47: ; Temperatura do LIDAR: 51.00C
2024-04- 29 13:54:47: ; Temperatura interna central: 40.60C
2024-04- 29 13:54:47: ; Temperatura interna lateral: 32.00C
2024-04- 29 13:54:47: ; Temperatura do chassi: 37.75C
2024-04- 29 13:54:47: ; Temperatura do LIDAR: 51.00C
2024-04- 29 13:55:47: ; Temperatura interna central: 41.00C
2024-04- 29 13:55:47: ; Temperatura interna lateral: 32.50C
2024-04- 29 13:55:47: ; Temperatura do chassi: 37.75C
2024-04- 29 13:55:47: ; Temperatura do LIDAR: 51.50C
