2024-04- 25 10:46:51: ; Temperatura interna central: 31.60C
2024-04- 25 10:46:51: ; Temperatura do LIDAR: 39.25C
2024-04- 25 10:47:51: ; Temperatura interna central: 31.70C
2024-04- 25 10:47:51: ; Temperatura do LIDAR: 40.00C
2024-04- 25 10:48:51: ; Temperatura interna central: 31.80C
2024-04- 25 10:48:51: ; Temperatura do LIDAR: 39.75C
2024-04- 25 10:49:51: ; Temperatura interna central: 31.80C
2024-04- 25 10:49:51: ; Temperatura do LIDAR: 39.75C
2024-04- 25 10:50:51: ; Temperatura interna central: 31.90C
2024-04- 25 10:50:51: ; Temperatura do LIDAR: 40.25C
2024-04- 25 10:51:51: ; Temperatura interna central: 31.90C
2024-04- 25 10:51:51: ; Temperatura do LIDAR: 40.50C
2024-04- 25 10:52:51: ; Temperatura interna central: 31.90C
2024-04- 25 10:52:51: ; Temperatura do LIDAR: 40.75C
2024-04- 25 10:53:51: ; Temperatura interna central: 31.90C
2024-04- 25 10:53:51: ; Temperatura do LIDAR: 40.25C
2024-04- 25 10:54:51: ; Temperatura interna central: 32.00C
2024-04- 25 10:54:51: ; Temperatura do LIDAR: 40.75C
2024-04- 25 10:55:51: ; Temperatura interna central: 32.00C
2024-04- 25 10:55:51: ; Temperatura do LIDAR: 40.75C
2024-04- 25 10:56:51: ; Temperatura interna central: 32.10C
2024-04- 25 10:56:51: ; Temperatura do LIDAR: 40.75C
2024-04- 25 10:57:51: ; Temperatura interna central: 32.20C
2024-04- 25 10:57:51: ; Temperatura do LIDAR: 41.25C
2024-04- 25 10:58:51: ; Temperatura interna central: 32.20C
2024-04- 25 10:58:51: ; Temperatura do LIDAR: 41.00C
2024-04- 25 10:59:51: ; Temperatura interna central: 32.40C
2024-04- 25 10:59:51: ; Temperatura do LIDAR: 41.00C
2024-04- 25 11:00:51: ; Temperatura interna central: 32.40C
2024-04- 25 11:00:51: ; Temperatura do LIDAR: 41.25C
2024-04- 25 11:01:51: ; Temperatura interna central: 32.50C
2024-04- 25 11:01:51: ; Temperatura do LIDAR: 41.00C
2024-04- 25 11:02:51: ; Temperatura interna central: 32.50C
2024-04- 25 11:02:51: ; Temperatura do LIDAR: 41.50C
2024-04- 25 11:03:51: ; Temperatura interna central: 32.60C
2024-04- 25 11:03:51: ; Temperatura do LIDAR: 41.25C
2024-04- 25 11:04:51: ; Temperatura interna central: 32.70C
2024-04- 25 11:04:51: ; Temperatura do LIDAR: 41.75C
2024-04- 25 11:05:51: ; Temperatura interna central: 32.80C
2024-04- 25 11:05:51: ; Temperatura do LIDAR: 41.75C
2024-04- 25 11:06:51: ; Temperatura interna central: 32.80C
2024-04- 25 11:06:51: ; Temperatura do LIDAR: 41.75C
2024-04- 25 11:07:51: ; Temperatura interna central: 33.00C
2024-04- 25 11:07:51: ; Temperatura do LIDAR: 42.00C
2024-04- 25 11:08:51: ; Temperatura interna central: 33.00C
2024-04- 25 11:08:51: ; Temperatura do LIDAR: 42.25C
2024-04- 25 11:09:51: ; Temperatura interna central: 33.10C
2024-04- 25 11:09:51: ; Temperatura do LIDAR: 42.50C
2024-04- 25 11:10:51: ; Temperatura interna central: 33.20C
2024-04- 25 11:10:51: ; Temperatura do LIDAR: 42.50C
2024-04- 25 11:11:51: ; Temperatura interna central: 33.30C
2024-04- 25 11:11:51: ; Temperatura do LIDAR: 42.50C
2024-04- 25 11:12:51: ; Temperatura interna central: 33.30C
2024-04- 25 11:12:51: ; Temperatura do LIDAR: 42.25C
2024-04- 25 11:13:51: ; Temperatura interna central: 33.30C
2024-04- 25 11:13:51: ; Temperatura do LIDAR: 42.50C
2024-04- 25 11:14:51: ; Temperatura interna central: 33.40C
2024-04- 25 11:14:51: ; Temperatura do LIDAR: 42.75C
2024-04- 25 11:15:51: ; Temperatura interna central: 33.40C
2024-04- 25 11:15:51: ; Temperatura do LIDAR: 43.25C
2024-04- 25 11:16:51: ; Temperatura interna central: 33.50C
2024-04- 25 11:16:51: ; Temperatura do LIDAR: 42.50C
2024-04- 25 11:17:51: ; Temperatura interna central: 33.60C
2024-04- 25 11:17:51: ; Temperatura do LIDAR: 43.00C
2024-04- 25 11:18:51: ; Temperatura interna central: 33.80C
2024-04- 25 11:18:51: ; Temperatura do LIDAR: 43.25C
2024-04- 25 11:19:51: ; Temperatura interna central: 33.80C
2024-04- 25 11:19:51: ; Temperatura do LIDAR: 43.25C
2024-04- 25 11:20:51: ; Temperatura interna central: 33.90C
2024-04- 25 11:20:51: ; Temperatura do LIDAR: 43.00C
2024-04- 25 11:21:51: ; Temperatura interna central: 33.90C
2024-04- 25 11:21:51: ; Temperatura do LIDAR: 43.25C
2024-04- 25 11:22:51: ; Temperatura interna central: 33.90C
2024-04- 25 11:22:51: ; Temperatura do LIDAR: 43.00C
2024-04- 25 11:23:51: ; Temperatura interna central: 34.00C
2024-04- 25 11:23:51: ; Temperatura do LIDAR: 43.00C
2024-04- 25 11:24:51: ; Temperatura interna central: 34.00C
2024-04- 25 11:24:51: ; Temperatura do LIDAR: 43.50C
2024-04- 25 11:25:51: ; Temperatura interna central: 34.10C
2024-04- 25 11:25:51: ; Temperatura do LIDAR: 43.75C
2024-04- 25 11:26:51: ; Temperatura interna central: 34.20C
2024-04- 25 11:26:51: ; Temperatura do LIDAR: 44.00C
2024-04- 25 11:27:51: ; Temperatura interna central: 34.30C
2024-04- 25 11:27:51: ; Temperatura do LIDAR: 44.00C
2024-04- 25 11:28:51: ; Temperatura interna central: 34.40C
2024-04- 25 11:28:51: ; Temperatura do LIDAR: 44.25C
2024-04- 25 11:29:51: ; Temperatura interna central: 34.40C
2024-04- 25 11:29:51: ; Temperatura do LIDAR: 44.00C
2024-04- 25 11:30:51: ; Temperatura interna central: 34.50C
2024-04- 25 11:30:51: ; Temperatura do LIDAR: 44.00C
2024-04- 25 11:31:51: ; Temperatura interna central: 34.60C
2024-04- 25 11:31:51: ; Temperatura do LIDAR: 44.50C
2024-04- 25 11:32:51: ; Temperatura interna central: 34.70C
2024-04- 25 11:32:51: ; Temperatura do LIDAR: 43.75C
2024-04- 25 11:33:51: ; Temperatura interna central: 34.80C
